PUBID,REGION,CENDIV,PUBCLIM,SQFT,WKHRS,NWKER,NGUSED,FKUSED,PRUSED,SOUSED,NGHT1,NGGENR,PCTERM,WBOARDS,FLUOR,OCSN,DIM,MFEXP
465,4,9,7,57000,60,100,1,0,0,0,0,0,1,0,1,1,0,148671
4786,3,6,7,102000,50,20,1,0,0,0,0,0,1,1,1,1,0,168762
6194,3,6,7,62000,60,20,1,0,0,0,1,1,1,1,1,1,0,84356
76,1,2,7,335000,112,162,0,1,0,0,0,0,1,1,1,1,0,433898
89,4,9,7,45000,75,30,0,0,0,0,0,0,1,0,1,1,0,33090
160,1,1,7,11250,60,16,1,1,0,0,1,0,1,0,0,1,1,26998
175,3,5,7,82000,60,300,0,0,0,0,0,0,1,0,1,1,1,131869
185,1,1,7,138000,45,40,1,1,0,0,1,0,1,1,1,1,1,211316
206,3,5,7,58000,81,25,1,0,0,1,1,0,1,0,1,0,0,208649
320,4,8,7,225000,120,100,1,0,0,0,0,0,1,0,1,1,0,220846
405,2,3,7,69000,80,10,0,0,0,0,0,0,1,0,1,0,0,108583
412,2,3,7,21000,60,30,1,0,0,0,0,0,1,0,1,1,1,49032
433,4,8,7,87000,112,50,1,0,0,0,0,0,1,1,1,1,1,82316
540,3,7,7,8000,70,2,1,0,0,0,1,0,1,0,0,1,0,12777
619,3,7,7,108000,80,300,0,0,0,0,0,0,1,0,0,1,0,318061
885,4,8,7,130000,80,62,1,1,0,0,0,0,1,0,1,1,0,134441
889,1,2,7,160000,168,125,1,0,0,0,1,0,1,1,1,0,0,568658
907,2,3,7,66000,119,18,0,0,0,0,0,0,1,0,1,1,0,120516
934,4,8,7,168000,104,51,1,1,0,0,0,0,1,0,1,1,0,343503
950,3,5,7,250000,85,300,1,1,0,0,1,0,1,1,1,1,0,335703
959,3,5,7,60000,105,7,1,1,0,0,1,0,1,0,1,1,0,67930
1020,1,2,7,415000,95,300,1,1,0,0,0,0,1,1,1,0,0,774810
1057,1,2,7,40000,70,20,1,0,0,0,0,1,1,1,1,1,0,37681
1077,1,2,7,215000,120,300,1,0,0,0,1,1,1,1,1,1,0,651267
1108,4,9,7,5100,50,6,0,0,0,0,0,0,1,0,1,1,0,2843
1152,4,9,7,200001,120,100,0,1,0,0,0,0,1,1,1,1,0,234570
1165,3,5,7,5000,40,2,1,0,0,0,0,0,1,0,1,0,0,3696
1182,4,8,7,310000,100,120,0,0,0,1,0,0,1,1,1,0,0,427073
1443,2,4,7,40000,48,8,1,0,0,0,1,0,1,0,1,0,0,48378
1452,2,3,7,500001,85,450,1,0,0,1,1,0,1,1,1,1,1,694774
1467,3,7,7,110000,70,25,1,0,0,0,0,0,1,1,1,1,1,154380
1507,4,9,7,134000,112,100,0,0,0,0,0,0,1,1,0,1,0,113065
1524,1,2,7,138000,105,30,1,0,0,0,1,1,1,0,1,1,0,137292
1543,3,5,7,260000,83,85,1,0,0,0,0,0,1,0,1,1,1,383661
1545,3,5,7,98000,168,28,1,0,0,0,0,0,1,0,1,0,0,184069
1680,1,2,7,200001,140,45,1,0,0,0,1,1,1,1,1,1,1,307153
1692,3,6,7,600000,112,300,1,1,0,0,1,0,1,1,0,1,1,588822
1738,2,4,7,63000,60,18,1,0,0,0,1,1,0,1,1,1,0,106522
1830,3,5,7,320000,120,140,1,0,0,0,1,0,1,1,1,1,0,465247
1865,3,5,7,122000,50,50,1,0,0,0,0,0,1,0,1,1,1,99107
1961,2,4,7,188000,95,40,1,0,0,1,1,1,1,1,0,0,0,225446
1969,1,2,7,220000,77,90,0,1,0,0,0,0,1,1,1,1,0,370111
2007,4,9,7,305000,60,250,0,0,0,0,0,0,1,0,1,0,0,707950
2009,2,3,7,124000,70,20,0,0,0,0,0,0,1,0,1,1,0,138242
